"CRNII","GEAR","tot_catch","wae_catch","YEAR","DEPTH","SECCHI","LAT","LONG"
"2007001",7,183,52,2007,8.2,"1",41.5391,-82.4841
"2007001",10,120,12,2007,8.2,"1",41.5391,-82.4841
"2007002",7,270,94,2007,10.4,"1",41.4157,-82.476
"2007002",10,146,44,2007,10.4,"1",41.4157,-82.476
"2007003",7,67,41,2007,13.1,"2.4",41.424,-82.4997
"2007003",10,69,29,2007,13.1,"2.4",41.424,-82.4997
"2007004",7,178,123,2007,11.1,"2.4",41.5391,-82.4841
"2007004",10,120,74,2007,11.1,"2.4",41.5391,-82.4841
"2007005",7,324,139,2007,7,"0.9",41.3916,-82.5033
"2007005",10,173,75,2007,7,"0.9",41.3916,-82.5033
"2007006",7,62,7,2007,16.8,"2.4",41.4394,-82.5794
"2007006",10,38,11,2007,16.8,"2.4",41.4394,-82.5794
"2007007",7,177,14,2007,11.3,"2.7",41.4319,-82.5331
"2007007",10,214,18,2007,11.3,"2.7",41.4319,-82.5331
"2007008",7,345,212,2007,10.7,"1.2",41.5501,-82.3651
"2007008",10,291,106,2007,10.7,"1.2",41.4157,-82.476
"2007009",7,109,81,2007,13.1,"1.5",41.5391,-82.4841
"2007009",10,69,38,2007,13.1,"1.5",41.5391,-82.4841
"2007011",7,367,219,2007,10.4,"1.2",41.4489,-82.5477
"2007011",10,184,119,2007,10.4,"1.2",41.4489,-82.5477
"2007012",7,263,210,2007,9.4,"1.2",41.43935,-82.57944
"2007012",10,175,111,2007,9.4,"1.2",41.43935,-82.57944
"2007013",7,349,235,2007,10.4,"1.3",41.4319,-82.53305
"2007013",10,218,140,2007,10.4,"1.3",41.4319,-82.53305
"2008014",7,208,41,2008,8.8,"0.5",41.4118,-82.5196
"2008014",10,126,17,2008,8.8,"0.5",41.4118,-82.5196
"2008015",7,448,118,2008,8.8,"1",41.4118,-82.5196
"2008015",10,145,49,2008,8.8,"1",41.4118,-82.5196
"2008016",7,163,119,2008,13.1,"0.7",41.5391,-82.4841
"2008016",10,128,72,2008,13.1,"0.7",41.5391,-82.4841
"2008017",7,348,246,2008,13.1,"2",41.5391,-82.4841
"2008017",10,220,141,2008,13.1,"2",41.5391,-82.4841
"2008018",7,549,361,2008,9.1,"1",41.4157,-82.476
"2008018",10,358,246,2008,9.1,"1",41.4157,-82.476
"2008019",7,5,2,2008,13.1,"3.4",41.6623,-82.3577
"2008019",10,11,3,2008,13.1,"3.4",41.6623,-82.3577
"2008020",7,80,62,2008,16,"1.5",41.5501,-82.3651
"2008020",10,111,50,2008,16,"1.5",41.5501,-82.3651
"2008021",7,196,107,2008,13.1,"1.8",41.4926,-82.3569
"2008021",10,119,67,2008,13.1,"1.8",41.4926,-82.3569
"2008022",7,570,372,2008,8.8,"0.9",41.4408,-82.3537
"2008022",10,221,99,2008,8.8,"0.9",41.4408,-82.3537
"2011001",7,41,23,2011,7.9,"1.6",41.861067,-83.192283
"2011001",10,116,6,2011,7.9,"2.6",41.861067,-83.192283
"2011002",7,188,92,2011,6.4,"0.1",41.715683,-83.227033
"2011002",10,112,42,2011,6.4,"0.1",41.715683,-83.227033
"2011003",7,125,48,2011,6.7,"0.5",41.5903,-82.89485
"2011003",10,37,7,2011,6.7,"0.5",41.5903,-82.89485
"2011004",7,141,80,2011,8.29056,"0.5",41.633833,-82.770117
"2011004",10,81,39,2011,8.29056,"0.5",41.633833,-82.770117
"2011005",7,245,147,2011,12.8016,"1",41.632617,-82.636267
"2011005",10,157,118,2011,12.8016,"1",41.632617,-82.636267
"2011006",7,162,68,2011,9.47928,"0.6",41.500383,-82.636483
"2011006",10,146,64,2011,9.47928,"0.6",41.500383,-82.636483
"2011007",7,533,112,2011,12.40536,"0.2",41.469983,-82.510733
"2011007",10,218,51,2011,12.40536,"0.2",41.469983,-82.510733
"2011008",7,157,119,2011,12.86256,"1",41.619,-82.5288
"2011008",10,98,58,2011,12.86256,"1",41.619,-82.5288
"2011009",7,145,64,2011,8.90016,"1.3",41.44195,-82.3512
"2011009",10,45,25,2011,8.90016,"1.3",41.44195,-82.3512
"2012001",7,175,103,2012,6.64464,"1",41.6846,-83.202667
"2012001",10,94,41,2012,6.64464,"1",41.6846,-83.202667
"2012002",7,137,105,2012,6.58368,"0.75",41.59005,-82.894817
"2012002",10,73,35,2012,6.58368,"0.75",41.59005,-82.894817
"2012003",7,228,52,2012,7.9248,"1.5",41.633917,-82.770667
"2012003",10,131,48,2012,7.9248,"1.5",41.633917,-82.770667
"2012004",7,370,164,2012,9.144,"2.5",41.500917,-82.636817
"2012004",10,182,68,2012,9.144,"2.5",41.500917,-82.636817
"2012005",7,113,46,2012,9.4488,".",41.8806333,-83.64276667
"2012005",10,148,49,2012,9.4488,".",41.8806333,-83.64276667
"2012006",7,297,52,2012,11.52144,"3",41.645916667,-82.6457333
"2012006",10,37,5,2012,11.52144,"3",41.645916667,-82.6457333
"2012007",7,612,48,2012,12.8016,"1",41.53988333,-82.48295
"2012007",10,356,36,2012,12.8016,"1",41.53988333,-82.48295
"2012008",7,606,84,2012,10.3632,"0.5",41.46936667,-82.5101333
"2012008",10,201,36,2012,10.3632,"0.5",41.46936667,-82.5101333
"2012009",7,270,20,2012,12.192,"1",41.61978333,-82.52835
"2012009",10,52,7,2012,12.192,"1",41.61978333,-82.52835
"2012010",7,192,131,2012,11.36904,"1.4",41.55185,-82.36185
"2012010",10,344,41,2012,11.36904,"1.4",41.55185,-82.36185
"2012011",7,301,151,2012,10.0584,"0.25",41.43278333,-82.474616667
"2012011",10,177,86,2012,10.0584,"0.25",41.43278333,-82.474616667
"2012012",7,297,237,2012,8.8392,"1",41.441216667,-82.35053333
"2012012",10,156,141,2012,8.8392,"1",41.441216667,-82.35053333
"2012013",7,15,10,2012,9,"1",41.9325,-83.08533333
"2012013",10,0,0,NA,NA,NA,NA,NA
"2012014",7,230,51,2012,11,"1",41.895,-82.68716667
"2012014",10,0,0,NA,NA,NA,NA,NA
"2012015",7,283,45,2012,10,"1.5",41.94133333,-82.55616667
"2012015",10,0,0,NA,NA,NA,NA,NA
"2012016",7,45,6,2012,20,"3",41.93783333,-82.22866667
"2012016",10,0,0,NA,NA,NA,NA,NA
"2012017",7,50,2,2012,23,"2",41.97866667,-81.93583333
"2012017",10,0,0,NA,NA,NA,NA,NA
"2012018",7,21,0,2012,23,"2",42.2295,-81.6425
"2012018",10,0,0,NA,NA,NA,NA,NA
"2012019",7,94,12,2012,20,"1",42.47766667,-81.31366667
"2012019",10,0,0,NA,NA,NA,NA,NA
"2012020",7,109,9,2012,23,"2",42.14383333,-81.47716667
"2012020",10,0,0,NA,NA,NA,NA,NA
"2012021",7,128,18,2012,21,"1.5",42.359,-81.606
"2012021",10,0,0,NA,NA,NA,NA,NA
"2013001",7,339,85,2013,9.54024,".",41.500833,-82.636383
"2013001",10,405,61,2013,9.54024,".",41.500833,-82.636383
"2013002",7,195,85,2013,14.08176,"2.2999999999999998",41.620417,-82.527117
"2013002",10,93,57,2013,14.08176,"2.2999999999999998",41.620417,-82.527117
"2013003",7,122,54,2013,13.62456,"2",41.470817,-82.509367
"2013003",10,66,26,2013,13.62456,"2",41.470817,-82.509367
"2013004",7,123,68,2013,15.27048,"1.6",41.551133,-82.362083
"2013004",10,42,30,2013,15.27048,"1.6",41.551133,-82.362083
"2013005",7,212,53,2013,8.8,"1.7",41.441433,-82.3513
"2013005",10,134,24,2013,8.8,"1.7",41.441433,-82.3513
"2013006",7,58,23,2013,13.4112,"1.7",41.543353,-82.4869
"2013006",10,31,11,2013,13.4112,"1.7",41.543353,-82.4869
"2013007",7,170,52,2013,10.0584,"1.2",41.412767,-82.522417
"2013007",10,91,34,2013,10.0584,"1.2",41.412767,-82.522417
"2013008",7,79,28,2013,10.2,"2.1",41.9795,-82.606
"2013008",10,33,12,2013,10.2,"2.1",41.9795,-82.606
"2013009",7,60,39,2013,10,"1.9",41.978,-82.77466667
"2013009",10,24,9,2013,10,"1.9",41.978,-82.77466667
"2013010",7,96,67,2013,11.2,"1.5",41.85566667,-82.772
"2013010",10,36,23,2013,11.2,"1.5",41.85566667,-82.772
"2013011",7,115,61,2013,10,"2.5",41.81216667,-82.56366667
"2013011",10,40,21,2013,10,"2.5",41.81216667,-82.56366667
"2013012",7,74,13,2013,12.8,"1.3",41.68683333,-82.428
"2013012",10,51,6,2013,12.8,"1.3",41.68683333,-82.428
"2013013",7,80,49,2013,17.8,"1.3",41.77533333,-82.27166667
"2013013",10,48,15,2013,17.8,"1.3",41.77533333,-82.27166667
"2013014",7,247,2,2013,17.4,"2",41.94216667,-82.35766667
"2013014",10,155,2,2013,17.4,"2",41.94216667,-82.35766667
